,0,1
0,153.02879280000002,-27.44965914
1,153.0023852,-27.24896859
2,153.0889071,-27.68082723
3,152.980174,-27.15697192
4,152.76074069999999,-27.61552317
5,152.7472095,-27.58790429
6,153.0764863,-27.39576088
7,152.95338619999998,-27.39666131
8,153.5389896,-28.16903735
9,153.528013,-28.16757586
10,153.3129051,-27.87021049
11,153.369221,-28.01358817
12,153.4101201,-27.95791615
13,153.3524624,-28.076181599999998
14,152.831443,-25.27859052
15,146.8245113,-19.25758395
16,146.7519082,-19.26189413
17,145.77756440000002,-16.92028699
18,153.17478119999998,-27.66264062
19,152.9892626,-27.44597368
20,153.0766969,-27.49307533
21,153.0465944,-27.50279114
22,153.0382625,-27.55077584
23,153.0945946,-27.45030407
24,152.97438180000003,-27.55368338
25,153.1163416,-27.54515319
26,153.1285552,-27.47912893
27,153.02162859999999,-27.38444784
28,153.0166124,-27.35637584
29,152.9374971,-27.08318442
30,152.9764505,-27.08680848
31,153.1325784,-27.61632108
32,153.1284017,-27.60852689
33,153.14351430000002,-27.641982399999996
34,153.10496569999998,-27.64169698
35,153.1051734,-27.6820227
36,153.0381477,-27.69817377
37,152.7514156,-27.61567758
38,152.7605906,-27.61554071
39,152.7648246,-27.61644033
40,153.06270940000002,-27.4066309
41,153.0169735,-27.43604949
42,153.0993453,-27.44271403
43,152.85634,-27.59940491
44,153.4105611,-28.02684115
45,153.1201106,-26.80318751
46,153.5308337,-28.16825224
47,153.08944440000002,-26.65021088
48,153.3396916,-27.99354199
49,153.12941809999998,-26.72394272
50,149.18437849999998,-21.14280028
51,146.2586453,-20.07196015
52,145.7414794,-16.91309835
53,152.94147949999999,-27.57795532
54,152.99068290000002,-27.44592679
55,153.0578199,-27.50227215
56,153.0510736,-27.47101571
57,153.1110888,-27.54650047
58,152.96336780000001,-27.50219687
59,153.01117539999998,-27.54286628
60,153.0812267,-27.55995443
61,153.013541,-27.48739179
62,153.1406579,-27.47590666
63,153.19998169999997,-27.71752398
64,0.0,0.0
65,153.2513857,-27.523888800000005
66,153.084294,-27.22600385
67,153.1137566,-27.659751899999996
68,152.9601791,-27.16184283
69,152.75985780000002,-27.61828868
70,152.7625831,-27.62467507
71,152.7811626,-27.61333618
72,152.97280790000002,-27.41276096
73,153.51630319999998,-28.164079100000002
74,153.30492959999998,-27.87020268
75,153.1039082,-26.66158756
76,153.06746619999998,-26.39864463
77,153.4149634,-27.97029449
78,153.4339315,-28.10179522
79,152.82765880000002,-25.278953100000003
80,151.8367159,-26.53615671
81,152.68939609999998,-25.52080347
82,151.94718419999998,-27.56813169
83,150.5156939,-23.35365434
84,147.40506330000002,-19.57602511
85,145.7413354,-17.01409813
86,153.1672037,-27.65596502
87,153.03886430000003,-27.45593914
88,153.0361123,-27.54219683
89,153.08158999999998,-27.56396499
90,153.0308804,-27.38612102
91,153.0217579,-27.38473986
92,153.2202349,-27.72620704
93,153.2672809,-27.52803508
94,152.9883704,-27.30171615
95,152.987664,-27.21199635
96,153.1148113,-27.22538996
97,153.085824,-27.22382244
98,153.120798,-27.60190046
99,153.11973030000001,-27.6178295
100,152.9684034,-27.15504931
101,152.78217019999997,-27.60781242
102,153.08565280000002,-27.43515748
103,153.005192,-26.690262100000005
104,153.329634,-28.00380351
105,152.85323119999998,-25.28791522
106,151.934354,-27.56638358
107,151.9421521,-27.567296000000002
108,146.796005,-19.26363928
109,0.0,0.0
110,145.759309,-16.90802953
111,153.1853875,-27.67797871
112,153.0386698,-27.50166439
113,152.95861430000002,-27.44633911
114,152.9874565,-27.4580923
115,153.02230519999998,-27.53727603
116,153.0553742,-27.47447417
117,153.18656130000002,-27.45420261
118,153.1199965,-27.47443535
119,153.0526064,-27.35211166
120,153.0356323,-27.3728401
121,152.93049,-27.07743783
122,152.9815131,-27.28290998
123,153.1276454,-27.59629484
124,153.1427245,-27.64147243
125,153.2156033,-27.56836808
126,152.98395490000001,-27.18011747
127,152.7852933,-27.61390374
128,153.0510743,-27.42293817
129,153.0773584,-27.41151553
130,152.8481764,-27.59721397
131,153.4319325,-28.04555383
132,153.39099009999998,-28.00991781
133,153.41574730000002,-28.04563837
134,153.4300939,-28.02959863
135,153.408735,-28.03529391
136,153.3550982,-28.02191114
137,153.3393955,-27.99650745
138,153.3976388,-27.95605068
139,153.3977695,-27.97582666
140,153.4206036,-27.97455821
141,153.1318273,-26.70609958
142,152.3742925,-24.85543116
143,152.3424052,-24.8587837
144,151.9543269,-27.55535745
145,0.0,0.0
146,151.2433541,-23.86286011
147,145.77234019999997,-16.927481399999998
148,145.7311008,-17.00590055
149,145.420126,-16.99341526
150,152.93096090000003,-27.55616738
151,153.0327997,-27.5127212
152,153.00551969999998,-27.45342269
153,153.0658905,-27.5230708
154,153.0559486,-27.32721903
155,153.0557465,-27.32716371
156,152.9800021,-27.51475849
157,152.9851146,-27.39142588
158,153.1442929,-27.64551342
159,153.1459288,-27.50904984
160,152.8740985,-27.63291233
161,153.43000669999998,-28.02911991
162,153.5255196,-28.16692382
163,153.1157293,-26.68731227
164,152.9591273,-26.6269885
165,152.9590636,-26.62716294
166,153.4253377,-27.97473286
167,152.3714336,-24.88039203
168,145.4216889,-16.98938071
169,145.7055196,-16.85020093
170,153.05944240000002,-27.62520272
171,152.9207816,-27.58632485
172,152.98566440000002,-27.45304896
173,153.0281872,-27.47271822
174,153.0285266,-27.46703702
175,153.029722,-27.470133899999997
176,153.002445,-27.46044911
177,152.99964319999998,-27.46335181
178,153.0332696,-27.41269638
179,0.0,0.0
180,153.0234942,-27.37362449
181,153.0596545,-27.34383321
182,153.1907989,-27.72856549
183,152.98762680000002,-27.29849605
